"System"	"X"	"Y"	2271	2317	2319	2341	2367	2571	2596	2750	2765	2767	2783	2786	2821	2822	2830	2864	3025	3030	3040	3049	3050	3050	3050	3051	3052	3057	3058	3059	3059	3059	3059	3063	3067	3068	3075	3079	3081	3085	3095	3130	3135	3145
"Aboukir"	-419.964	287.637	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"RWR,Finmark Province"	"RWR,Finmark Province"	"RWR,Finmark Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"
"Abramkovo"	-330.86	-28.739	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"LC,Protectorate of Donegal,Alarion Province"	"LC,Protectorate of Donegal,Alarion Province"	"LC,Protectorate of Donegal,Alarion Province"	"LC,Protectorate of Donegal,Alarion Province"	"LC,Protectorate of Donegal,Alarion Province"	"LC,Protectorate of Donegal,Alarion Province"	"LC,Protectorate of Donegal,Alarion Province"	"LC,Protectorate of Donegal,Alarion Province"	"LC,Protectorate of Donegal,Alarion Province"	"LC,Protectorate of Donegal,Alarion Province"	"LC,Protectorate of Donegal,Bolan Province"	"FCL,Tamarind March,Bolan Operational Area,Region 2"	"FCL,Tamarind March,Bolan Operational Area,Region 2"	"FCL,Tamarind March,Bolan Operational Area,Region 2"	"FCL,Tamarind March,Bolan Operational Area,Region 2"	"FCL,Tamarind March,Bolan Operational Area,Region 2"	"FCL,Tamarind March,Bolan Operational Area,Region 2"	"FCL,Tamarind March,Bolan Operational Area,Region 2"	"LA,Tamarind March,Bolan Operational Area,Region 2"	"LA,Bolan Province,Cavanaugh Theater"	"LA,Bolan Province,Cavanaugh Theater"	"LA,Bolan Province,Cavanaugh Theater"	"LA,Bolan Province,Cavanaugh Theater"	"LA,Bolan Province,Cavanaugh Theater"	"LA,Bolan Province,Cavanaugh Theater"	"LA,Bolan Province,Cavanaugh Theater"	"LA,Bolan Province,Dixie Theater"	"LA,Bolan Province,Dixie Theater"	"LA,Bolan Province,Dixie Theater"	"LA,Bolan Province,Dixie Theater"	"LC,Bolan Province,Dixie Theater"	"LC,Bolan Province,Dixie Theater"	"LC,Bolan Province,Cavanaugh Theater"	"LC,Bolan Province,Cavanaugh Theater"	"LC,Buena Province,Timbuktu Theater"
"Abruzzi"	149.392	-304.327	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"CC,St. Ives Commonality,Region 6"	"CC,St. Ives Commonality,Region 6"	"CC,St. Ives Commonality,Region 6"	"CC,St. Ives Commonality,Region 6"	"CC,St. Ives Commonality,Region 6"	"CC,St. Ives Commonality,Region 6"	"CC,St. Ives Commonality,Region 6"	"CC,St. Ives Commonality,Region 6"	"FS,Capellan March,Taygeta Operational Area,Region 1"	"FS,Capellan March,Taygeta Operational Area,Sirdar PDZ"	"FS,Capellan March,Taygeta Operational Area,Sirdar PDZ"	"FCF,Capellan March,Taygeta Operational Area,Sirdar PDZ"	"FCF,Capellan March,Taygeta Operational Area,Sirdar PDZ"	"FCF,Capellan March,Taygeta Operational Area,Sirdar PDZ"	"FCF,Capellan March,Taygeta Operational Area,Sirdar PDZ"	"FCF,Capellan March,Taygeta Operational Area,Sirdar PDZ"	"FCF,Capellan March,Taygeta Operational Area,Sirdar PDZ"	"FCF,Capellan March,Taygeta Operational Area,Sirdar PDZ"	"FS,Capellan March,Taygeta Operational Area,Sirdar PDZ"	"FS,Capellan March,Taygeta Operational Area,Sirdar PDZ"	"FS,Capellan March,Taygeta Operational Area,Sirdar PDZ"	"FS,Capellan March,Taygeta Operational Area,Sirdar PDZ"	"FS,Capellan March,Taygeta Operational Area,Sirdar PDZ"	"FS,Capellan March,Taygeta Operational Area,Sirdar PDZ"	"FS,Capellan March,Taygeta Operational Area,Sirdar PDZ"	"FS,Capellan March,Taygeta Operational Area,Sirdar PDZ"	"FS,Capellan March,Taygeta Operational Area,Sirdar PDZ"	"FS,Capellan March,Taygeta Operational Area,Sirdar PDZ"	"FS,Capellan March,Taygeta Operational Area,Sirdar PDZ"	"FS,Capellan March,Taygeta Operational Area,Sirdar PDZ"	"FS,Capellan March,Taygeta Operational Area,Sirdar PDZ"	"FS,Capellan March,Taygeta Operational Area,Sirdar PDZ"	"FS,Capellan March,Taygeta Operational Area,Sirdar PDZ"	"FS,Capellan March,Taygeta Operational Area,Sirdar PDZ"	"FS,Capellan March,Sirdar Operational Area,Sirdar PDZ"
"Abushiri"	-267.585	326.475	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"RWR,Apollo Province"	"RWR,Apollo Province"	"RWR,Apollo Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"
"Acala"	134.156	-124.34		"I"			"FS"	"CC,Sarna Commonality,Region 7"	"CC,Sarna Commonality,Region 7"	"CC,Sarna Commonality,Region 7"	"CC,Sarna Commonality,Region 7"	"CC,Sarna Commonality,Region 7"	"CC,Sarna Commonality,Region 7"	"CC,Sarna Commonality,Region 7"	"CC,Sarna Commonality,Region 7"	"CC,Sarna Commonality,Region 7"	"CC,Sarna Commonality,Region 7"	"FS,Capellan March,Kathil Operational Area,Region 1"	"FS,Capellan March,Kathil Operational Area,Valexa PDZ"	"FS,Capellan March,Kathil Operational Area,Valexa PDZ"	"FCF,Capellan March,Kathil Operational Area,Valexa PDZ"	"FCF,Capellan March,Kathil Operational Area,Valexa PDZ"	"FCF,Capellan March,Kathil Operational Area,Valexa PDZ"	"FCF,Capellan March,Kathil Operational Area,Valexa PDZ"	"FCF,Capellan March,Kathil Operational Area,Valexa PDZ"	"FCF,Capellan March,Kathil Operational Area,Valexa PDZ"	"FCF,Capellan March,Kathil Operational Area,Valexa PDZ"	"FS,Capellan March,Kathil Operational Area,Valexa PDZ"	"FS,Capellan March,Kathil Operational Area,Valexa PDZ"	"FS,Capellan March,Kathil Operational Area,Valexa PDZ"	"FS,Capellan March,Kathil Operational Area,Valexa PDZ"	"FS,Capellan March,Kathil Operational Area,Valexa PDZ"	"FS,Capellan March,Kathil Operational Area,Valexa PDZ"	"FS,Capellan March,Kathil Operational Area,Valexa PDZ"	"FS,Capellan March,Kathil Operational Area,Valexa PDZ"	"FS,Capellan March,Kathil Operational Area,Valexa PDZ"	"FS,Capellan March,Kathil Operational Area,Valexa PDZ"	"FS,Capellan March,Kathil Operational Area,Valexa PDZ"	"FS,Capellan March,Kathil Operational Area,Valexa PDZ"	"FS,Capellan March,Kathil Operational Area,Valexa PDZ"	"FS,Capellan March,Kathil Operational Area,Valexa PDZ"	"FS,Capellan March,Kathil Operational Area,Alcyone PDZ"	"FS,Capellan March,Kathil Operational Area,Alcyone PDZ"	"FS,Capellan March,Kathil Operational Area,Alcyone PDZ"
"Acamar"	39.543	-38.565	"I"	"I"	"I"	"TH"	"TH"	"TH,Terra Firma Province"	"TH,Terra Firma Province"	"TH,Terra Firma Province"	"TH,Terra Firma Province"	"AE,Terra Firma Province"	"TH,Terra Firma Province"	"TH,Brownsville Province"	"CC,Tikonov Commonality,Region 3"	"CC,Tikonov Commonality,Region 3"	"CC,Tikonov Commonality,Region 3"	"CC,Tikonov Commonality,Region 3"	"CC,Tikonov Commonality,Region 5"	"TFR"	"FCL,Sarna March,Terra Firma Operational Area,Region 2"	"FCL,Sarna March,Terra Firma Operational Area,Region 2"	"FCL,Sarna March,Terra Firma Operational Area,Region 2"	"FCL,Sarna March,Terra Firma Operational Area,Region 2"	"FCL,Sarna March,Terra Firma Operational Area,Region 2"	"FCL,Sarna March,Terra Firma Operational Area,Region 2"	"FCL,Sarna March,Terra Firma Operational Area,Region 2"	"LA,Sarna March,Terra Firma Operational Area,Region 2"	"CM"	"CM"	"CM"	"CM"	"CM"	"CM"	"FS,Capellan March,Kathil Operational Area,Region 1"	"WOB"	"WOB"	"CoF"	"ROTS,Prefecture V"	"ROTS,Prefecture V"	"ROTS,Prefecture V"	"ROTS,Prefecture V"	"I"	"CC,Tikonov Commonality,Region 1"
"Accrington"	-10.088	144.968			"FoS"	"FoS"	"LC,Federation of Skye"	"LC,Federation of Skye,Kannon Shire"	"LC,Federation of Skye,Kannon Shire"	"LC,Federation of Skye,Kannon Shire"	"LC,Federation of Skye,Kannon Shire"	"LC,Federation of Skye,Kannon Shire"	"LC,Federation of Skye,Kannon Shire"	"LC,Federation of Skye,Kannon Shire"	"LC,Federation of Skye,Kannon Shire"	"LC,Federation of Skye,Kannon Shire"	"LC,Federation of Skye,Kannon Shire"	"LC,Federation of Skye,Kannon Shire"	"LC,Federation of Skye,Virginia Shire"	"LC,Federation of Skye,Virginia Shire"	"FCL,Skye March,Ryde Operational Area,Region 1"	"FCL,Skye March,Ryde Operational Area,Region 1"	"FCL,Skye March,Ryde Operational Area,Region 1"	"FCL,Skye March,Ryde Operational Area,Region 1"	"FCL,Skye March,Ryde Operational Area,Region 1"	"FCL,Skye March,Ryde Operational Area,Region 1"	"FCL,Skye March,Ryde Operational Area,Region 1"	"LA,Skye March,Ryde Operational Area,Region 1"	"LA,Skye Province,Freedom Theater"	"LA,Skye Province,Freedom Theater"	"LA,Skye Province,Freedom Theater"	"LA,Skye Province,Freedom Theater"	"LA,Skye Province,Freedom Theater"	"LA,Skye Province,Freedom Theater"	"LA,Skye Province,Freedom Theater"	"LA,Skye Province,Freedom Theater"	"LA,Skye Province,Freedom Theater"	"LA,Skye Province,Freedom Theater"	"LA,Donegal Province,Arc-Royal Theater"	"LC,Donegal Province,Arc-Royal Theater"	"LC,Donegal Province,Arc-Royal Theater"	"LC,Donegal Province"	"LC,Donegal Province"	"RD,Region 3"
"Achilles"	44.858	-132.111	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"CC,Sarna Commonality,Region 4"	"CC,Sarna Commonality,Region 4"	"CC,Sarna Commonality,Region 4"	"CC,Sarna Commonality,Region 4"	"CC,Sarna Commonality,Region 4"	"CC,Sarna Commonality,Region 4"	"CC,Sarna Commonality,Region 4"	"CC,Sarna Commonality,Region 4"	"CC,Sarna Commonality,Region 4"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"
"Achnoly"	638.819	199.142	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"OA,Onverwacht Province"	"OA,Onverwacht Province"	"OA,Onverwacht Province"	"OA,Onverwacht Province"	"OA,Onverwacht Province"	"OA,Onverwacht Province"	"OA,Onverwacht Province"	"OA,Onverwacht Province"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"
"Achton"	632.323	190.916	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"OA,Onverwacht Province"	"OA,Onverwacht Province"	"OA,Onverwacht Province"	"OA,Onverwacht Province"	"OA,Onverwacht Province"	"OA,Onverwacht Province"	"OA,Onverwacht Province"	"OA,Onverwacht Province"	"OA"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"
"Acoma"	224.416	-62.259	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"FS,Crucis March,Markesan Operational Area,Region 1"	"FS,Crucis March,Markesan Operational Area,Region 1"	"FS,Crucis March,Markesan Operational Area,Region 1"	"FS,Crucis March,Markesan Operational Area,Region 1"	"FS,Crucis March,Markesan Operational Area,Region 1"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"
"Aconcagua"	-275.03	-189.625	"I"					"FWL,Principality of Regulus"	"FWL,Principality of Regulus"	"FWL,Principality of Gibson"	"FWL,Principality of Gibson"	"FWL,Principality of Gibson"	"FWL,Principality of Gibson"	"FWL,Principality of Gibson"	"FWL,Principality of Gibson"	"FWL,Principality of Gibson"	"FWL,Principality of Gibson"	"FWL,Principality of Gibson"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"I"	"I"	"I"	"I"	"I"	"FWL"
