Word,Weight
Cracked Cannoneers,1
Cracked Casings,1
Cracked Circuitry Crew,1
Cracked Combatants,1
Cracked Core,1
Cracked Crew,1
Cracked Shell Crew,1
Crash and Burn Bumblers,1
Crash Land Crusaders,1
Crash Test Commandos,1
Creaky Commandos,1
Creaky Crushers,1
Crooked Cannons,1
Cross-Eyed Commandos,1
Crossfire Cavaliers,1
Crossfire Crew,1
Crosshair Conundrum,1
Crosswired Commanders,1
Crumbling Command,1
Cursed Contracts,1
Damaged Defenders,1
Dead Batteries Battalion,1
Death by Committee,1
Defective Division,1
Defunct Defenders,1
Delayed Deployments,1
Delayed Reaction Division,1
Dented Dominators,1
Derailed Defenders,1
Derailed Division,1
Derailment Division,1
Derelict Division,1
Desperate Measures,1
Detour Division,1
Dimwit Division,1
Disarray Division,1
Disasterpiece,1
Discombobulated Buddies,1
Disconnected Disasters,1
Discount Death Dealers,1
Disheveled Defenders,1
Disordered Defenders,1
Disorganized Desperados,1
Disrupted Defenders,1
Diverted Division,1
DIY Doomsday,1
Doom Delivery,1
Doomsday Dilettantes,1
Double-Booked,1
Downrange Desperados,1
Downtime Defenders,1
Drain Plug Defenders,1
Drop Zone Debacle,1
Drop Zone Disasters,1
Drop-in Drifters,1
Drunken Drop Troops,1
Duct-Tape Dynamos,1
Duct-Taped Defenders,1
Dumb Luck Defense,1
Dust Bunnies Division,1
Dusty Pilots,1
Ejector Seat Squadron,1
Emergency Backup Battalion,1
Emergency Contractors,1
Emergency Escapes,1
Emergency Excavators,1
Emergency Rations,1
Engine Failure Fugitives,1
Engineered Explosions,1
Error 404,1
Error Code Commanders,1
Expendable Elites,1
Expired Licenses,1
Explosive Expectations,1
Explosive Expendables,1
Explosive Solutions,1
Failed Launch,1
Fallout Fighters,1
False Alarms,1
Faulty Firepower,1
Faulty Force,1
Faulty Frontliners,1
Faulty Fusiliers,1
Fidgety Fighters,1
Final Frontier Fools,1
Final Fumble,1
Final Standers,1
Fire and Forget,1
Fire Hazard Forces,1
Fire Sale Fighters,1
Fired Up Fighters,1
Firepower Flops,1
Firepower Flunkies,1
Firestorm Freelancers,1
Fizzle Force,1
Fizzled Flames,1
Fizzled Force,1
Fizzled Fusiliers,1
Flak Jacket Jesters,1
Flammable Forces,1
Flare-Up Fighters,1
Flash-Fried Fighters,1
Flat Tire Fighters,1
Flatline Fumblers,1
Flawed Firepower,1
Flickering Fireteam,1
Flimsy Fusiliers,1
Flipped Switch Squadron,1
Fluke Fighters,1
Fly-By-Night,1
Flying Fiasco,1
Flywheel Fighters,1
Fools for Hire,1
For Sale Battalion,1
Forgetful Forces,1
Forgotten Firepower,1
Fractured Fighters,1
Fractured Fireteam,1
Frag and Forget,1
Frag Fest Fighters,1
Fragged and Forgotten,1
Fragged Fighters,1
Fragile Fighters,1
Fragmented Forces,1
FrankenMechs,1
Frayed Forces,1
Frazzled Fusiliers,1
Freeloading Fighters,1
Frenzied Freelancers,1
Frenzy Fighters,1
Freshly Repaired,1
Friendly Fire Squad,1
Friendly Firefighters,1
Frying Pan Fighters,1
Fuel Tank Fumblers,1
Full Metal Farce,1
Full Tilt Troopers,1
Full-Throttle Failures,1
Fumble and Fire,1
Fumble Force,1
Fumbling Phantoms,1
Funky Firepower,1
Fuse Blown Battalion,1
Fuse-Breakers,1
Gas-Guzzling Giants,1
Gear Grind Guardians,1
Gear Slip Squad,1
Gears and Gremlins,1
Gearshift Goons,1
Ghost Grenadiers,1
Glitch and Grind,1
Glitch Gang,1
Glitch Gunners,1
Glitch in the System,1
Glitch-Gear Gang,1
Glitched Gears,1
Glitched Gladiators,1
Glitchy Gizmos,1
Glitchy Grunts,1
Glorious Goofballs,1
Glorious Misfires,1
Golden BBs,1
Gravy Train Gunners,1
Greased Lightning Legion,1
Greasy Gearheads,1
Gridlock Gladiators,1
Half-Baked Heroes,1
Half-Cocked Hotshots,1
Half-Mech Hellraisers,1
Half-Pint Heroes,1
Half-Power Heroes,1
Half-Step Heroes,1
Halfway Heroes,1
Hand-Me-Down Heroes,1
Happy Accidents,1
Hasty Hires,1
Haywire Havoc,1
Hazardous Hardware,1
Hazardous Heroes,1
Hazardous Hijinks,1
Hazardous Hitmen,1
Hazardous Hooligans,1
Hazardous Hotshots,1
Help I Can't Get Up,1
Helter Skelter Squad,1
Hiccups and Hooligans,1
Hijinks Militia,1
Hot Drop Heroes,1
Hot Mess,1
Hotwired Heroes,1
Hull Breach Hooligans,1
Hull Patch Heroes,1
Hypothetical Heroes,1
Idle Iron Brigade,1
Imbalanced Invaders,1
Improvised Explosions,1
Improvised Mayhem,1
In Over Our Heads,1
Inept Invasion,1
Inferno Investors,1
Infinite Ammo,1
Inside Job,1
Instant Infantry,1
Jagged Edge Juggernauts,1
Jammed Gyros,1
Jammed Jets,1
Janky Jokers,1
Janky Juggernauts,1
Jettisoned Jokers,1
Jiggly Juggernauts,1
Juggled Justice,1
Junkyard Jockeys,1
Jury-Rigged Junkies,1
Jury-Rigged Justice,1
Kicking and Screaming,1
Kickstart Commandos,1
Knockoff Knights,1
Lagging Legends,1
Last Chance Corps,1
Last Ditch Legion,1
Last Minute Marauders,1
Last Standers,1
Last-Minute Reinforcements,1
Leadfoot Legion,1
Left-Handed Losers,1
Legal Liability,1
Limping Legionnaires,1
Lock Stock and Misfire,1
Long Con,1
Long Haul Legion,1
Longshot Legends,1
Look Mom I'm a Mercenary,1
Loophole Legion,1
Loose Bolts,1
Loose Ends Legion,1
Loose Screws Legion,1
Loosely Assembled,1
Lopsided Legion,1
Lost Cause Legion,1
LosTech Losers,1
Loud and Reckless,1
Low Ammo Legends,1
Low Budget Legion,1
Lucky Strikes,1
Madcap Militia,1
Makeshift Marauders,1
Malfunction Masters,1
Malfunction Militia,1
Malfunctioned Militia,1
Mangled Mercs,1
Manual Override Militia,1
Mech Head Mayhem,1
Mech Messiahs,1
Mecha Misfits,1
Mecha-nicians,1
Mechanical Mishaps,1
Mediocre Militia,1
Meltdown Militia,1
Menace Mechs,1
Metal Mayhem Marauders,1
Metalhead Malcontents,1
Midnight Marauders,1
Misaligned Mercs,1
Miscalculated Maneuvers,1
Misfire Marauders,1
Misfire Masters,1
Misfire Misfits,1
Misfired Mercenaries,1
Misfired Missiles,1
Misfired Orders,1
Misfit Maniacs,1
Misfit Mech Squad,1
Misguided Missiles,1
Mishap Militia,1
Mismatched Mercenaries,1
Missed Connection Militia,1
Missile Malcontents,1
Missing Manuals,1
Missing Mech Parts,1
Misstep Mercenaries,1
Mixed Messages,1
Moonshine Marauders,1
More Missiles Misfits,1
Muddled Mercs,1
Muddy Boots Brigade,1
Near Miss Knights,1
No Armor Ninjas,1
No Arms No Ammo,1
No Reserves,1
No Signal Soldiers,1
No Spare Parts,1
No Warranty,1
No-Load Legion,1
Not Quite Heroes,1
Not Ready Yet,1
Not the Wolf's Dragoons,1
Oddball Ordnance,1
Off the Rails Regiment,1
Off-Kilter Killers,1
Off-Target Team,1
Off-the-Charts Chaos,1
Off-Track Tacticians,1
Offbeat Battalion,1
Offbeat Outlaws,1
On Fire and Loving It,1
On the Fritz,1
One Hit Wonders,1
One Speed Spinners,1
Oops Brigade,1
Out of Order Operatives,1
Out-of-Range Rangers,1
Out-of-Sync Squad,1
Outdated Operators,1
Outgunned Outlaws,1
Overbudget Overlords,1
Overburdened Battalion,1
Overclocked Outcasts,1
Overclocked Underachievers,1
Overdraft Ordnance,1
Overdrive Outcasts,1
Overdue Loans,1
Overheating Ordnance,1
Overload Outcasts,1
Overloaded and Underpaid,1
Overloaded Oafs,1
Overpriced Offensive,1
Overtime Oathbreakers,1
Overworked Outcasts,1
Paid in Promises,1
Panic Button Platoon,1
Pants-on-Fire,1
Partial Payments,1
Parts Unknown,1
Patch Job Platoon,1
Patch-Up Patrol,1
Patched-Up Patriots,1
Patchwork Paladins,1
Patchy Pioneers,1
Patchy Platoon,1
Phantom Foibles,1
Pieced Together Platoon,1
Piecemeal Punishers,1
Plan B Battalion,1
Plot Armor,1
Plug-and-Play Platoon,1
Plugged-in Patriots,1
Plummeting Platoon,1
Pocket Aces,1
Pocket-Sized Platoon,1
Pothole Pilots,1
Power Down Platoon,1
Power Surge Platoon,1
Power-Pipe Patrol,1
Premature Ejectulation,1
Princess Punching Bags,1
Prone to Malfunction,1
Protocol Pirates,1
Prototype Punishers,1
Punchline Platoon,1
Questionable Contracts,1
Quick Fix Crew,1
Quirky Quarrelers,1
Ragged Renegades,1
Ragtag Raiders,1
Ragtag Renegades,1
Ragtag Rogues,1
Rambling Raiders,1
Ramshackle Renegades,1
Random-Retreat Regiment,1
Rapid Retreat,1
Rattle-Trap Regiment,1
Rattled Raiders,1
Reactor Rejects,1
Reactor Shield Drifters,1
Rebooted Rangers,1
Rebuilt Renegades,1
Reckless Rookies,1
Reckless Wagers,1
Recoil Rogues,1
Recycled Raiders,1
Red Alert Rejects,1
Red Line Raiders,1
Red-Tape Raiders,1
Redline Rejects,1
Reinforced Ramblers,1
Reinforcements R Us,1
Rent-a-Reckoning,1
Rent-a-Riot,1
Repair Required,1
Retro Rocket Rangers,1
Rewired Renegades,1
Risky Reclaimers,1
Rocket Rangers,1
Rogue Riveters,1
Rolling Blunders,1
Rolling Thunder,1
Rolling Wreckers,1
Rookie Rollcall,1
Rookie Rollouts,1
Rough and Rusty,1
Rough Draft Raiders,1
Rubber Band Revolution,1
Rumble in Progress,1
Rumble Reserves,1
Runaway Regiment,1
Runaway Relics,1
Runaway Rockets,1
Running Hot,1
Running on Fumes,1
Running with Rockets,1
Rust and Ruin,1
Rust Belt Renegades,1
Rust-Ridden Rangers,1
Rust-Streaked Regulars,1
Rustbucket Revival,1
Rusted Recon,1
Rusted Relics,1
Rusted Reserves,1
Rustproof Rebels,1
Rusty and Ready,1
Rusty Bolts,1
Rusty Raiders,1
Rusty Rebels,1
Rusty Recon,1
Rusty Relics,1
Rusty Rifles,1
Safety Switch Savages,1
Salvage Kings,1
Salvaged Payday,1
Sandbag Sentries,1
Sandblasted Sabres,1
Scatterbrain Squadron,1
Scattered Shots,1
Scattershot Squad,1
Scramble Squadron,1
Scrap Metal Scoundrels,1
Scrap Pile Patriots,1
Scrap-Heap Heroes,1
Scrapbook Squadron,1
Scrapbox Strikers,1
Scraped Together Squad,1
Scrapheap Heroes,1
Scrapheap Savants,1
Scrapheap Squadron,1
Scrapped Salvagers,1
Scrapped Scouts,1
Scrappy Survivors,1
Scrapyard Soldiers,1
Scratched Shields,1
Scuffed Sentries,1
Seat-of-the-Pants,1
Seatbelt Checkers,1
Second-Hand Soldiers,1
Second String Squadron,1
Shaky Shots,1
Shell-Shocked Savages,1
Shenanigans Squadron,1
Shiny Objects Brigade,1
Shiny Screw-ups,1
Shock Troop Screw-ups,1
Shocked Squad,1
Shoddy Squad,1
Shoot First Syndicate,1
Shooting Blanks,1
Short Circuit Savants,1
Short Fuse Squad,1
Short-Changed Soldiers,1
Short-Circuit Squad,1
Shot in the Dark,1
Shotgun Riders,1
Shotgun Shenanigans,1
Shrapnel Shufflers,1
Side Hustle Heroes,1
Side Quest Squad,1
Sideways Savants,1
Sidewind Squadron,1
Sidewinder Squad,1
Sidewinders and Stumblers,1
Siege in Progress,1
Silver-Tongued Saboteurs,1
Situational Screw-ups,1
Skeleton Crew,1
Sketchy Salvagers,1
Skewed Shots,1
Skid Row Soldiers,1
Skidmark Specialists,1
Slapdash Syndicate,1
Sledgehammer Savants,1
Sleep-Deprived Strategists,1
Slippery Squad,1
Slipshod Sentries,1
Slow Motion Mayhem,1
Slow Start Sabres,1
Slow-Mo Squad,1
Smash and Scramble,1
Smoke and Mirrors,1
Smoke Bomb Soldiers,1
Smoke Break Brigade,1
Smoking Caskets,1
Snap Crackle and Boom,1
Space Junk Squad,1
Spare Bullet Squad,1
Spare Change Squad,1
Spare Parts Platoon,1
Spare Time Soldiers,1
Spare Tire Syndicate,1
Speed Bump Soldiers,1
Speed Bump Soldiers,1
Sprocket Squad,1
Spun Out Squadron,1
Sputtering Sparks,1
Stackpole Survivors,1
Stall Tactics,1
Stalled Strike-Force,1
Static Shock Troopers,1
Static Surge Squad,1
Steam-Powered Saboteurs,1
Strategic Stumblers,1
Stray Shells,1
Stray Shot Specialists,1
Stray Sparks,1
Stress-Test Squad,1
Stressed Out Soldiers,1
Stressed Systems Squad,1
Stripped Screw Squadron,1
Stuck in Neutral,1
Stuck on Overdrive,1
Stuck Throttle Squad,1
Stumble Squad,1
Stutter Step Squad,1
Suboptimal Solutions,1
Sudden Impact,1
Sudden Scramble,1
Surrender Pending,1
Tactical Malfunctions,1
Tactical Tangles,1
Tactical Tantrums,1
Tactical Terrors,1
Tactical Time-Out,1
Tactical Turbulence,1
Tangled Turrets,1
Tanglefoot Troopers,1
Tarnished Tacticians,1
Tattered Titans,1
Teetering Titans,1
Tempest Tossed,1
Temporary Terrors,1
Test Name,1
This Way Up Warriors,1
Thrift Store Titans,1
Thrill Seekers,1
Throttle Stuck,1
Tick Tock Troopers,1
Ticklish Titans,1
Tilted Towers,1
Time Bomb Team,1
Tin Can Terrors,1
Tinfoil Tacticians,1
Tinkerers of Terror,1
Too Many Buttons,1
Trigger Fingers,1
Trigger Twitch,1
Trigger-Happy Terrors,1
Tripped Circuits,1
Tumbledown Troopers,1
Tumbleweeds of Terror,1
Turbo Tap-Out,1
Turbo Terrorists,1
Turbo Trouble,1
Turbo Turtles,1
Turbocharged Trouble,1
Turbulent Task Force,1
Turret Turncoats,1
Twisted Throttle,1
Twitching Trigger Fingers,1
Undercover Underachievers,1
Underfunded & Overloaded,1
Underfunded Overlords,1
Unfortunate Undergraduates,1
Unhinged Union,1
Unlikely Alliance,1
Unpaid Interns,1
Upgraded Improvisation,1
Vandalized Vanguards,1
Vaporwave Vanguard,1
War Crime Warriors,1
War Crimes and Misdemeanors,1
War Junkie Jesters,1
Warheads Without a Cause,1
Warpath Wanderers,1
Warpath Wobblers,1
Warped Wingnuts,1
Warzone Wannabes,1
Wayward Warlords,1
Wild Card Warriors,1
Wildcard Warhawks,1
Winging It Warriors,1
Wired Wrong,1
Wobble Wheel Warriors,1
Wobbling Warheads,1
Wobbling Warriors,1
Wobbly War Machines,1
Worn Out Warriors,1
Worn Warriors,1
Worn-War Warriors,1
Wreckage Walkers,1
Wrecking Ball Battalion,1
Wrecking Crew,1
Wrecks and Ruin,1
Your Name Here,1
Zapped Zeta Squad,1
